"LOC","STA","STATION","C","BAND","SPN","NUMB","SPEC","AGE","HA","WRP","SEX","HS","SK","CP","BP","F","BM","FM","FW","JP","WNG","WEIGHT","STATUS","DATE","TIME","NET","ANET","DISP","PPC","SSC","PPF","SSF","TT","RR","HD","UPP","UNP","BPL","NF","FP","N","B","A","BRSTAT","IP","SP","year"
"SISK",11101,"HCME","U",,150700,"13570","BCCH","0",,,"U",,,,,,,,,,0,0,"000",2009-06-01,"090","01","01",,,,,,,,,,,,,"-","U","*","*","U","04","A",2009
"SISK",11101,"HCME","U","7028",150700,"13570","BCCH","1","P",,"U",,,"0","0","0","0","N","1","0",61,10.3,"000",2010-05-24,"061","02","02","D",,,,,,,,,,,,"-","-","*","*","U","03","A",2010
"SISK",11101,"HCME","N","192088563",150700,"13570","BCCH","2","U",,"U",,"0",,,"0",,,,,58,9.6,"300",1992-07-13,"093","02","02",,,,,,,,,,,,,"-","-","+","-","U","08","A",1992
"SISK",11101,"HCME","N","196049145",150700,"13570","BCCH","2","PS",,"U",,"0",,,"1",,,,,60,10.2,"300",1993-07-20,"094","02","02",,,,,,,,,,,,,"-","-","-","-","U","09","A",1993
"SISK",11101,"HCME","N","199024507",150700,"13570","BCCH","2","SJ",,"U",,"1","0","0","0","0","N","0","1",60,0,"300",1997-07-21,"070","01","01",,,,,,,,,,,,,"-","-","-","-","U","09","A",1997
"SISK",11101,"HCME","R","199024507",150700,"13570","BCCH","5","R",,"U",,,"0","0","0","0","N","1","0",60,10.2,"300",1998-05-22,"091","01","01",,,,,,,,,,,,,"-","-","-","-","U","03","A",1998
"SISK",11101,"HCME","N","212061081",150700,"13570","BCCH","1","P",,"U",,,"0","0","0","0","N","1","0",59,10.3,"300",1998-05-22,"091","01","01",,,,,,,,,,,,,"-","-","-","-","U","03","A",1998
"SISK",11101,"HCME","R","212061300",150700,"13570","BCCH","1","P",,"F","B",,"0","2","0","0","N","2","0",58,0,"300",1999-06-22,"060","05","05",,,,,,,,,,,,,"-","-","-","-","U","06","A",1999
"SISK",11101,"HCME","N","212095087",150700,"13570","BCCH","2","S",,"U",,"0","0","0","2","4","N","0","0",61,11,"300",2001-07-31,"092","04","04",,,,,,,,,,,,,"-","-","-","-","U","10","A",2001
"SISK",11101,"HCME","N","216052033",150700,"13570","BCCH","1","P",,"U",,,"0","0","0","0","N","2","0",61,10.2,"300",1999-06-01,"073","01","01",,,,,,,"1",,,,,,"-","-","-","-","U","04","A",1999
"SISK",11101,"HCME","R","216052033",150700,"13570","BCCH","1","P",,"U",,,"0","0","0","0","N","3","0",59,10,"300",1999-06-22,"083","05","05",,,,,,,,,,,,,"-","-","-","-","U","06","A",1999
"SISK",11101,"HCME","N","216052072",150700,"13570","BCCH","2","J",,"U",,,"0","0","2","0","N","0","2",59,0,"300",1999-07-12,"112","01","01",,,,,,,,,,,,,"-","-","-","-","U","08","A",1999
"SISK",11101,"HCME","N","216052073",150700,"13570","BCCH","2","J",,"U",,,"0","0","3","0","N","0","2",58,0,"300",1999-07-12,"112","01","01",,,,,,,,,,,,,"-","-","-","-","U","08","A",1999
"SISK",11101,"HCME","N","216052074",150700,"13570","BCCH","2","J",,"U",,,"0","0","2","0","N","0","2",57,0,"300",1999-07-12,"112","01","01",,,,,,,,,,,,,"-","-","-","-","U","08","A",1999
"SISK",11101,"HCME","N","216052075",150700,"13570","BCCH","2","J",,"U",,,"0","0","1","0","N","0","2",62,0,"300",1999-07-12,"112","01","01",,,,,,,,,,,,,"-","-","-","-","U","08","A",1999
"SISK",11101,"HCME","N","216052076",150700,"13570","BCCH","2","J",,"U",,,"0","0","2","0","N","0","2",58,0,"300",1999-07-12,"112","01","01",,,,,,,,,,,,,"-","-","-","-","U","08","A",1999
"SISK",11101,"HCME","N","216052077",150700,"13570","BCCH","0",,,"U",,,"0","0","2","0","N","0","0",63,0,"300",1999-07-12,"112","01","01",,,,,,,,,,,,,"-","-","-","-","U","08","A",1999
"SISK",11101,"HCME","N","216052078",150700,"13570","BCCH","2","J",,"U",,,"0","0","1","0","N","0","2",62,0,"300",1999-07-12,"112","01","01",,,,,,,,,,,,,"-","-","-","-","U","08","A",1999
"SISK",11101,"HCME","N","216052159",150700,"13570","BCCH","2","S",,"U",,"0","0","0","0","4","N","1","0",59,10.4,"300",1999-07-30,"084","02","02",,,,,,,,,,,,,"-","-","-","-","U","10","A",1999
"SISK",11101,"HCME","N","216052347",150700,"13570","BCCH","1","S",,"U",,"6","0","0","0","0","N","2","0",61,11.1,"300",2000-06-21,"075","04","04",,,,,,,,,,,,,"-","-","-","-","U","06","A",2000
"SISK",11101,"HCME","N","216052396",150700,"13570","BCCH","2","S",,"U",,"1","0","0","0","0","N","0","0",61,10.9,"300",2000-07-10,"081","05","05",,,,,,,,,,,,,"-","-","-","-","U","08","A",2000
"SISK",11101,"HCME","N","216052499",150700,"13570","BCCH","2","S",,"U",,"1","0","0","0","2","N","0","0",61,0,"300",2000-07-31,"080","01","01",,,,,,,,,,,,,"-","-","-","-","U","10","A",2000
"SISK",11101,"HCME","N","225050018",150700,"13570","BCCH","1","P",,"M","C",,"2","0","2","0","N","2","0",62,10.7,"300",2002-05-22,"104","02","02",,,,,,,,,,,,,"-","-","-","-","U","03","A",2002
"SISK",11101,"HCME","N","225050029",150700,"13570","BCCH","5","P",,"U",,,"1","0","0","0","N","2","0",62,0,"300",2002-05-31,"073","02","02",,,"5",,,,,,,,,,"-","-","-","-","U","04","A",2002
"SISK",11101,"HCME","R","225050029",150700,"13570","BCCH","6","R",,"U",,,"1","0","0","0","N","2","0",62,11.2,"300",2003-05-21,"082","01","01",,,,,,,,,,,,,"-","-","-","-","U","03","A",2003
"SISK",11101,"HCME","R","225050029",150700,"13570","BCCH","6","R",,"U",,,"1","0","1","0","N","2","0",63,11,"300",2003-06-02,"075","01","01",,,,,,,,,,,,,"-","-","-","-","U","04","A",2003
"SISK",11101,"HCME","N","227050008",150700,"13570","BCCH","1","M",,"U",,,"0","0","0","1","S","1","0",63,11.1,"300",2004-07-12,"092","01","01",,,,,,,,,,,,,"-","-","B","-","U","08","A",2004
"SISK",11101,"HCME","R","227050008",150700,"13570","BCCH","6","R",,"U",,,"0","0","0","0","N","1","0",64,11.3,"300",2005-06-14,"060","01","01",,,,,,,,,,,,,"-","-","-","-","U","05","A",2005
"SISK",11101,"HCME","R","227050008",150700,"13570","BCCH","6","R",,"U",,"6","1","0","0","0","S","1","0",61,0,"300",2005-07-06,"081","02","02",,,,,,,,,,,,,"-","-","-","-","U","07","A",2005
"SISK",11101,"HCME","N","227050009",150700,"13570","BCCH","2","S",,"U",,"1","0","0","0","0","N","0","0",61,10.3,"300",2004-07-12,"092","01","01",,,,,,,,,,,,,"-","-","B","-","U","08","A",2004
